Family_ID,POS,Word/Collocations,Strict_Synonyms,Meaning_VN,,
1,adv,compulsorily,mandatorily,một cách bắt buộc,,
1,phrase,compulsorily acquired,mandatorily acquired,cưỡng chế thu hồi,,
1,adj,compulsory,mandatory,bắt buộc,,
1,phrase,compulsory education,mandatory education,giáo dục bắt buộc,,
1,phrase,compulsory military service,mandatory military service,nghĩa vụ quân sự bắt buộc,,
1,phrase,compulsory purchase,mandatory purchase,việc mua bắt buộc (theo luật),,
2,adv,voluntarily,by choice,một cách tự nguyện,,
2,adj,voluntary,,tình nguyện,,
2,phrase,voluntary work,,công việc tình nguyện,,
2,phrase,voluntary organization,,tổ chức tình nguyện,,
2,phrase,voluntary contribution,,đóng góp tự nguyện,,
2,phrase,voluntarily leave,,tự nguyện nghỉ việc,,
3,adj,optional,elective,tùy chọn,,
3,phrase,optional course,elective course,khóa học tùy chọn,,
3,adv,optionally,,một cách tùy chọn,,
3,phrase,optional extra,,phần bổ sung tùy chọn,,
3,phrase,optional feature,,tính năng tùy chọn,,
3,phrase,optionally available,,có sẵn dưới dạng tùy chọn,,
4,phrase,elective course,optional course,khóa học tự chọn,,
4,adj,elective,,tự chọn,,
4,adv,electively,,một cách tự chọn,,
4,phrase,elective surgery,,phẫu thuật không khẩn cấp (có thể lên lịch),,
4,phrase,elective office,,chức vụ dân cử,,
4,phrase,electively taken,,được thực hiện theo lựa chọn,,
5,adj,selective,,có chọn lọc,,
5,adv,selectively,,một cách có chọn lọc,,
5,phrase,selective memory,,trí nhớ có chọn lọc,,
5,phrase,selective breeding,,sự lai tạo có chọn lọc,,
5,phrase,selective attention,,sự chú ý có chọn lọc,,
5,phrase,selectively permeable,,có tính thấm chọn lọc,,
6,phrase,exclusive interview,sole interview,cuộc phỏng vấn độc quyền,,
6,phrase,exclusive rights,sole rights,quyền độc quyền,,
6,adj,exclusive,"sole, private",độc quyền,,
6,phrase,exclusively available,solely available,chỉ có sẵn ở đây,,
6,adv,exclusively,,một cách độc quyền,,
6,phrase,exclusive club,,câu lạc bộ độc quyền/kín,,
7,adj,inclusive,,bao gồm,,
7,adv,inclusively,,một cách bao gồm,,
7,phrase,inclusive education,,giáo dục hòa nhập (cho người khuyết tật),,
7,phrase,inclusive language,,ngôn ngữ bao gồm (không phân biệt),,
7,phrase,inclusive price,,giá trọn gói,,
7,phrase,inclusively designed,,được thiết kế mang tính bao gồm,,
8,adj,comprehensive,"all-inclusive, complete",toàn diện,,
8,phrase,comprehensive review,complete review,bài đánh giá toàn diện,,
8,phrase,comprehensively defeated,completely defeated,bị đánh bại hoàn toàn,,
8,adv,comprehensively,,một cách toàn diện,,
8,phrase,comprehensive insurance,,bảo hiểm toàn diện,,
8,phrase,comprehensive school,,trường phổ thông hỗn hợp (hệ thống giáo dục Anh),,
11,phrase,detailed analysis,thorough analysis,phân tích chi tiết,,
11,phrase,detailed instructions,thorough instructions,hướng dẫn chi tiết,,
11,phrase,detailed report,thorough report,báo cáo chi tiết,,
11,adj,detailed,,chi tiết,,
15,phrase,exact amount,precise sum,số tiền chính xác,,
15,phrase,exact time,precise time,thời gian chính xác,,
15,adj,exact,"precise, accurate",chính xác (tuyệt đối),,
15,adv,exactly,precisely,một cách chính xác,,
15,phrase,exact words,,nguyên văn từ ngữ,,
15,phrase,exactly right,,hoàn toàn chính xác,,
16,adj,accurate,"precise, correct",chính xác (đúng đắn),,
16,adv,accurately,precisely,một cách chính xác,,
16,phrase,accurately measured,precisely measured,được đo lường chính xác,,
16,phrase,accurate prediction,reliable forecast,dự đoán chính xác,,
16,phrase,accurate information,,thông tin chính xác (không sai sót),,
16,phrase,accurate description,,mô tả chính xác,,
17,phrase,correct answer,right answer,câu trả lời đúng,,
17,phrase,correct decision,right choice,quyết định đúng đắn,,
17,adj,correct,"right, accurate",đúng đắn,,
17,adv,correctly,rightly,một cách chính xác,,
17,phrase,correct procedure,,quy trình đúng chuẩn,,
17,phrase,correctly identified,,xác định chính xác,,
18,phrase,incorrect information,false data,thông tin sai lệch,,
18,phrase,incorrect assumption,false premise,giả định sai lầm,,
18,phrase,incorrect answer,wrong response,câu trả lời sai,,
18,adj,incorrect,"wrong, erroneous",sai không chính xác,,
18,adv,incorrectly,wrongly,một cách sai trái,,
18,phrase,incorrectly stated,,phát biểu sai lệch,,
19,phrase,wrongly accused,falsely charged,bị buộc tội oan,,
19,phrase,wrong direction,incorrect way,sai phương hướng,,
19,adj,wrong,"incorrect, mistaken",sai,,
19,adv,wrongly,incorrectly,một cách sai lầm,,
19,phrase,wrong decision,mistaken choice,quyết định sai lầm,,
19,phrase,wrong number,,sai số/nhầm số (điện thoại),,
20,phrase,erroneous conclusion,false deduction,kết luận sai lầm,,
20,phrase,erroneous belief,false notion,niềm tin sai lầm,,
20,phrase,erroneous data,incorrect figures,dữ liệu sai lệch,,
20,adj,erroneous,"incorrect, false",sai lầm (do nhầm lẫn),,
20,adv,erroneously,incorrectly,một cách sai lầm,,
20,phrase,erroneously reported,incorrectly stated,báo cáo sai lệch,,
21,phrase,false alarm,bogus warning,báo động giả,,
21,phrase,false statement,untrue claim,tuyên bố sai sự thật,,
21,adj,false,"untrue, incorrect",giả sai sự thật,,
21,adv,falsely,untruthfully,một cách sai trái,,
21,phrase,false impression,wrong idea,ấn tượng sai lầm,,
21,phrase,falsely accused,wrongly charged,bị buộc tội vu khống,,
22,adj,true,authentic,có thật (đúng sự thật),,
22,phrase,true story,authentic account,câu chuyện có thật,,
22,adv,truly,genuinely,thật sự/đích thực,,
22,phrase,truly amazing,genuinely impressive,thật sự tuyệt vời,,
22,phrase,true friend,loyal friend,người bạn thực sự,,
22,phrase,true meaning,real significance,ý nghĩa thực sự,,
23,phrase,real world,actual world,thế giới thực tế,,
23,adv,really,actually,thật sự,,
23,phrase,really important,critically important,thật sự quan trọng,,
23,adj,real,genuine,thực tế/có thật,,
23,phrase,real problem,genuine issue,vấn đề thực tế,,
23,phrase,real estate,property,bất động sản,,
24,adv,actually,in fact,thực tế là,,
24,adj,actual,real,thực tế (đang diễn ra),,
24,phrase,actual cost,real cost,chi phí thực tế,,
24,phrase,actual size,real dimensions,kích thước thực tế,,
24,phrase,actual events,real-life events,sự kiện thực tế,,
24,phrase,actually happened,really occurred,thực tế đã xảy ra,,
25,phrase,factually correct,accurate in terms of facts,đúng sự thật,,
25,phrase,factual accuracy,correctness of facts,độ chính xác của dữ liệu,,
25,adj,factual,evidence-based,dựa trên sự thật,,
25,phrase,factual error,mistake in fact,sai sót về mặt sự thật,,
25,adv,factually,objectively,về mặt sự thật,,
25,phrase,factual information,,thông tin thực tế,,
26,phrase,objective truth,impartial truth,sự thật khách quan,,
26,adv,objectively,impartially,một cách khách quan,,
26,phrase,objectively measured,impartially assessed,được đo lường khách quan,,
26,adj,objective,unbiased,khách quan,,
26,phrase,objective analysis,unbiased assessment,phân tích khách quan,,
26,phrase,objective criteria,unbiased standards,tiêu chí khách quan,,
27,adj,subjective,personal,chủ quan,,
27,phrase,subjective judgment,personal assessment,đánh giá chủ quan,,
27,phrase,subjective experience,personal experience,kinh nghiệm chủ quan,,
27,phrase,subjective opinion,personal view,ý kiến chủ quan,,
27,adv,subjectively,personally,một cách chủ quan,,
27,phrase,subjectively perceived,personally viewed,được nhận thức chủ quan,,
28,adv,impartially,fairly,một cách vô tư,,
28,phrase,impartially administered,fairly managed,được quản lý vô tư,,
28,adj,impartial,unbiased,vô tư/không thiên vị,,
28,phrase,impartial judge,unbiased adjudicator,thẩm phán vô tư,,
28,phrase,impartial advice,unbiased counsel,lời khuyên vô tư,,
28,phrase,impartial analysis,unbiased examination,phân tích vô tư,,
29,adj,unbiased,impartial,không thiên vị/khách quan,,
29,phrase,unbiased opinion,impartial view,ý kiến không thiên vị,,
29,adv,unbiasedly,impartially,một cách không thiên vị,,
29,phrase,unbiasedly selected,randomly selected,được lựa chọn khách quan,,
29,phrase,unbiased sample,representative sample,mẫu không thiên vị,,
29,phrase,unbiased reporting,,báo cáo không thiên vị,,
30,adj,neutral,impartial,trung lập,,
30,adj,neutral,impartial,trung lập trung tính,,
30,adv,neutrally,impartially,một cách trung lập,,
30,phrase,neutral country,non-aligned nation,quốc gia trung lập,,
30,phrase,neutrally expressed,objectively stated,được thể hiện trung lập,,
30,phrase,neutral position,unbiased stance,lập trường trung lập,,
30,phrase,neutral tone,,giọng điệu trung lập,,
32,adj,just,fair,chính đáng/công bằng,,
32,phrase,just decision,fair ruling,quyết định công bằng,,
32,phrase,just society,fair society,xã hội công bằng,,
32,adv,justly,fairly,một cách chính đáng,,
32,phrase,justly deserved,rightfully earned,xứng đáng một cách chính đáng,,
32,phrase,just cause,,nguyên nhân chính đáng,,
34,phrase,biased reporting,one-sided reporting,báo cáo thiên vị,,
34,adj,biased,prejudiced,thiên vị,,
34,phrase,biased opinion,prejudiced view,ý kiến thiên vị,,
34,phrase,biased sample,unrepresentative sample,mẫu thiên vị,,
34,phrase,biasedly presented,,được trình bày một cách thiên vị,,
35,adj,prejudiced,biased,có thành kiến,,
35,phrase,prejudiced attitude,biased mindset,thái độ thành kiến,,
35,phrase,prejudiced views,biased opinions,quan điểm thành kiến,,
35,phrase,prejudiced decision,biased ruling,quyết định thành kiến,,
35,phrase,prejudicedly judged,,bị đánh giá một cách thành kiến,,
43,adj,proportional,commensurate,tỷ lệ,,
43,phrase,proportional relationship,corresponding relationship,mối quan hệ tỷ lệ,,
43,phrase,proportional representation,corresponding representation,đại diện tỷ lệ,,
43,phrase,proportional response,corresponding response,phản ứng tỷ lệ,,
43,phrase,proportionally divided,correspondingly divided,chia theo tỷ lệ,,
43,adv,proportionally,,một cách tỷ lệ,,
44,phrase,corresponding author,matching author,tác giả tương ứng,,
44,phrase,corresponding increase,matching increase,mức tăng tương ứng,,
44,phrase,corresponding period,matching period,kỳ tương ứng (cùng kỳ),,
44,adj,corresponding,"matching, equivalent",tương ứng,,
44,phrase,correspondingly high,matchingly high,mức cao tương ứng,,
44,adv,correspondingly,,một cách tương ứng,,
47,adj,identical,"duplicate, same",giống hệt nhau,,
47,phrase,identical copy,same copy,bản sao giống hệt nhau,,
47,phrase,identically dressed,same dressed,ăn mặc giống hệt nhau,,
47,phrase,identical results,same results,kết quả giống hệt nhau,,
47,phrase,identical twins,same twins,cặp song sinh cùng trứng,,
47,adv,identically,,một cách giống hệt nhau,,
49,phrase,different approach,distinct approach,cách tiếp cận khác,,
49,phrase,different results,distinct results,kết quả khác,,
49,adj,different,"distinct, dissimilar",khác biệt,,
49,phrase,differently abled,distinctly abled,người có khả năng khác biệt,,
49,adv,differently,,một cách khác biệt,,
49,phrase,different perspective,,quan điểm khác,,
50,phrase,distinctly remember,clearly remember,ghi nhớ rõ ràng,,
50,phrase,distinct flavor,different flavor,hương vị khác biệt,,
50,phrase,distinct possibility,different possibility,khả năng rõ rệt,,
50,adj,distinct,"discrete, separate",khác biệt rõ rệt,,
50,adv,distinctly,,một cách rõ ràng,,
50,phrase,distinct advantage,,lợi thế rõ rệt,,
58,adj,irregular,abnormal,không đều/bất quy tắc,,
58,adv,irregularly,abnormally,một cách không đều,,
58,phrase,irregular pattern,uneven pattern,kiểu mẫu không đều,,
58,phrase,irregularly shaped,unevenly shaped,có hình dáng không đều,,
58,phrase,irregular heartbeat,,nhịp tim không đều,,
58,phrase,irregular verbs,,động từ bất quy tắc,,
62,adj,common,"ordinary, widespread",phổ biến/thông thường,,
62,phrase,common practice,standard procedure,thói quen thông thường,,
62,adv,commonly,widely,thông thường/phổ biến,,
62,phrase,commonly used,widely utilized,thường được dùng,,
62,phrase,common sense,,lẽ thường (sự phán đoán thực tế),,
62,phrase,common cold,,cảm lạnh thông thường,,
64,phrase,rare disease,scarce ailment,bệnh hiếm gặp,,
64,phrase,rare opportunity,scarce chance,cơ hội hiếm có,,
